Order ID,Date,Product Name,Category,Quantity,Unit Price,Discount (%),Total Revenue,Shipping Cost,Customer Country,Customer Segment,Order Channel,Payment Method,Order Status
ORD-0001,2024-01-08,Fuel Cell GX,Fuel Systems,7,42.55,30,208.49,12.27,Brazil,University,Referral,Stripe,Pending
ORD-0002,2024-02-03,Flight Computer ZB,Electronics,9,79.79,10,646.3,8.19,Mexico,Hobbyist,Referral,Manual,Pending
ORD-0003,2024-01-21,Parachute Recovery Pack,Safety,8,103.41,30,579.1,8.6,Germany,University,Online,PayPal,Refunded
ORD-0004,2024-02-01,Parachute Recovery Pack,Safety,3,187.72,0,563.16,14.51,USA,University,Online,Stripe,Refunded
ORD-0005,2024-01-25,Telemetry Kit Alpha,Electronics,2,56.08,15,95.34,13.11,Germany,Company,Online,Manual,Completed
ORD-0006,2024-03-25,Parachute Recovery Pack,Safety,10,186.57,5,1772.41,12.67,Canada,Hobbyist,Online,Stripe,Refunded
ORD-0007,2024-05-25,Thruster C-21,Engines,3,194.95,20,467.88,9.91,Mexico,University,Online,Manual,Completed
ORD-0008,2024-02-23,Flight Computer ZB,Electronics,4,73.35,5,278.73,10.08,USA,Company,Referral,PayPal,Pending
ORD-0009,2024-01-29,Ignition Module V2,Electronics,1,179.48,25,134.61,3.68,UK,Company,Mobile App,PayPal,Completed
ORD-0010,2024-05-13,Thruster C-21,Engines,10,52.4,5,497.8,9.72,Japan,University,Mobile App,Stripe,Completed
ORD-0011,2024-04-11,Thruster C-21,Engines,7,144.95,20,811.72,14.99,Brazil,University,Mobile App,Manual,Completed
ORD-0012,2024-04-05,Fuel Cell GX,Fuel Systems,4,36.95,20,118.24,11.95,USA,University,Online,Stripe,Pending
ORD-0013,2024-05-28,Rocket Motor XZ-100,Engines,6,197.54,10,1066.72,3.08,Japan,Hobbyist,Mobile App,Stripe,Pending
ORD-0014,2024-02-22,Fuel Cell GX,Fuel Systems,5,110.06,20,440.24,13.38,Germany,Company,Referral,Manual,Pending
ORD-0015,2024-03-06,Rocket Motor XZ-100,Engines,7,104.01,5,691.67,1.75,USA,Hobbyist,Mobile App,PayPal,Completed
ORD-0016,2024-05-06,Launch Pad Mini,Hardware,1,91.54,30,64.08,1.78,Mexico,Company,Online,PayPal,Completed
ORD-0017,2024-02-16,Thruster C-21,Engines,10,47.65,0,476.5,2.25,Japan,Hobbyist,Online,Manual,Pending
ORD-0018,2024-04-10,Thruster C-21,Engines,4,54.52,0,218.08,4.8,UK,Company,Referral,Stripe,Refunded
ORD-0019,2024-02-26,Launch Pad Mini,Hardware,6,108.01,15,550.85,11.21,Brazil,Company,Referral,Stripe,Pending
ORD-0020,2024-02-17,Flight Computer ZB,Electronics,2,157.78,30,220.89,12.54,Canada,University,Online,Stripe,Pending
ORD-0021,2024-05-19,Rocket Motor XZ-100,Engines,2,145.77,15,247.81,3.92,USA,University,Referral,Stripe,Refunded
ORD-0022,2024-04-21,Flight Computer ZB,Electronics,2,50.57,30,70.8,13.76,Japan,Company,Online,Stripe,Completed
ORD-0023,2024-01-14,Flight Computer ZB,Electronics,7,173.04,25,908.46,9.99,Japan,Hobbyist,Mobile App,Manual,Pending
ORD-0024,2024-04-05,Launch Pad Mini,Hardware,10,190.91,30,1336.37,11.53,Germany,University,Online,PayPal,Pending
ORD-0025,2024-03-14,Flight Computer ZB,Electronics,4,44.72,10,160.99,14.72,Japan,Company,Online,PayPal,Pending
ORD-0026,2024-05-04,Fuel Cell GX,Fuel Systems,9,145.99,30,919.74,10.36,UK,Hobbyist,Mobile App,Manual,Completed
ORD-0027,2024-03-05,Telemetry Kit Alpha,Electronics,8,127.63,5,969.99,6.53,UK,Hobbyist,Online,Stripe,Pending
ORD-0028,2024-02-01,Ignition Module V2,Electronics,2,193.66,15,329.22,7.81,Canada,University,Online,Manual,Pending
ORD-0029,2024-06-13,Rocket Motor XZ-100,Engines,5,127.01,10,571.55,12.77,Mexico,University,Mobile App,Manual,Pending
ORD-0030,2024-01-25,Parachute Recovery Pack,Safety,8,164.24,20,1051.14,6.96,Mexico,University,Referral,Manual,Refunded
ORD-0031,2024-03-26,Parachute Recovery Pack,Safety,9,59.39,5,507.78,10.03,Mexico,Hobbyist,Referral,PayPal,Refunded
